scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic,n_recordings
Saxicola leucurus,White-tailed Stonechat,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
Saxicola macrorhynchus,White-browed Bushchat,Passeriformes,Muscicapidae,Vulnerable,yes,,,no,0
Saxicola rubetra,Whinchat,Passeriformes,Muscicapidae,,yes,,,no,0
Schoenicola striatus,Bristled Grassbird,Passeriformes,Locustellidae,Vulnerable,no,Schedule-I,High,no,0
Scolopax rusticola,Eurasian Woodcock,Charadriiformes,Scolopacidae,,no,Schedule-II,,no,0
Sibirionetta formosa,Baikal Teal,Anseriformes,Anatidae,,yes,Schedule-II,,no,0
Sitta cinnamoventris,Chestnut-bellied Nuthatch,Passeriformes,Sittidae,,no,Schedule-II,Low,no,0
Sitta himalayensis,White-tailed Nuthatch,Passeriformes,Sittidae,,no,,,no,0
Spatula clypeata,Northern Shoveler,Anseriformes,Anatidae,,no,Schedule-II,High,no,0
Spatula querquedula,Garganey,Anseriformes,Anatidae,,no,Schedule-II,High,no,0
Spilopelia chinensis,Spotted Dove,Columbiformes,Columbidae,,no,Schedule-II,Low,no,0
Spilopelia senegalensis,Laughing Dove,Columbiformes,Columbidae,,no,Schedule-II,Low,no,0
Spilornis cheela,Crested Serpent-Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no,0
Spinus spinus,Eurasian Siskin,Passeriformes,Fringillidae,,no,Schedule-II,,no,0
Stercorarius parasiticus,Parasitic Jaeger,Charadriiformes,Stercorariidae,,no,,,no,0
Sterna acuticauda,Black-bellied Tern,Charadriiformes,Laridae,Endangered,no,Schedule-I,High,no,0
Sterna aurantia,River Tern,Charadriiformes,Laridae,Vulnerable,no,Schedule-I,Moderate,no,0
Sterna paradisaea,Arctic Tern,Charadriiformes,Laridae,,no,,,no,0
Sternula albifrons,Little Tern,Charadriiformes,Laridae,,no,Schedule-II,High,no,0
Streptopelia decaocto,Eurasian Collared-Dove,Columbiformes,Columbidae,,no,Schedule-II,Low,no,0
Streptopelia tranquebarica,Red Collared-Dove,Columbiformes,Columbidae,,no,Schedule-II,Low,no,0
Streptopelia turtur,European Turtle-Dove,Columbiformes,Columbidae,Vulnerable,no,,,no,0
Strix aluco,Tawny Owl,Strigiformes,Strigidae,,no,Schedule-II,,no,0
Strix leptogrammica,Brown Wood-Owl,Strigiformes,Strigidae,,no,Schedule-I,,no,0
Strix nivicolum,Himalayan Owl,Strigiformes,Strigidae,,no,,,no,0
Strix ocellata,Mottled Wood-Owl,Strigiformes,Strigidae,,no,Schedule-I,,no,0
Sturnia malabarica,Chestnut-tailed Starling,Passeriformes,Sturnidae,,no,Schedule-II,Low,no,0
Sturnia pagodarum,Brahminy Starling,Passeriformes,Sturnidae,,no,Schedule-II,Low,no,0
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Cuculiformes,Cuculidae,,no,,,no,0
Surniculus lugubris,Square-tailed Drongo-Cuckoo,Cuculiformes,Cuculidae,,no,Schedule-II,Low,no,0
Sylvia borin,Garden Warbler,Passeriformes,Sylviidae,,no,,,no,0
Sylviparus modestus,Yellow-browed Tit,Passeriformes,Paridae,,no,Schedule-II,Moderate,no,0
Taccocua leschenaultii,Sirkeer Malkoha,Cuculiformes,Cuculidae,,no,Schedule-II,High,no,0
Tachymarptis melba,Alpine Swift,Apodiformes,Apodidae,,no,Schedule-II,Low,no,0
Tachyspiza badia,Shikra,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no,0
Tachyspiza virgata,Besra,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no,0
Tadorna ferruginea,Ruddy Shelduck,Anseriformes,Anatidae,,no,Schedule-II,High,no,0
Tadorna tadorna,Common Shelduck,Anseriformes,Anatidae,,no,Schedule-II,,no,0
Taenioptynx brodiei,Collared Owlet,Strigiformes,Strigidae,,no,Schedule-II,Low,no,0
Tarsiger chrysaeus,Golden Bush-Robin,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
Tephrodornis pondicerianus,Common Woodshrike,Passeriformes,Vangidae,,no,Schedule-II,Moderate,no,0
Tetraogallus tibetanus,Tibetan Snowcock,Galliformes,Phasianidae,,no,,,no,0
Tetrax tetrax,Little Bustard,Otidiformes,Otididae,Near-threatened,no,Schedule-I,,no,0
Thinornis dubius,Little Ringed Plover,Charadriiformes,Charadriidae,,no,Schedule-II,High,no,0
