scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Lophura leucomelanos,Kalij Pheasant,Galliformes,Phasianidae,,no,Schedule-I,Low,no
Loxia curvirostra,Red Crossbill,Passeriformes,Fringillidae,,no,Schedule-II,,no
Lymnocryptes minimus,Jack Snipe,Charadriiformes,Scolopacidae,,no,Schedule-II,,no
Machlolophus xanthogenys,Himalayan Black-lored Tit,Passeriformes,Paridae,,no,Schedule-II,Low,no
Macropygia unchall,Barred Cuckoo-Dove,Columbiformes,Columbidae,,no,,,no
Mareca falcata,Falcated Duck,Anseriformes,Anatidae,,no,Schedule-II,Moderate,no
Mareca penelope,Eurasian Wigeon,Anseriformes,Anatidae,,no,Schedule-II,Moderate,no
Mareca strepera,Gadwall,Anseriformes,Anatidae,,no,Schedule-II,Moderate,no
Marmaronetta angustirostris,Marbled Duck,Anseriformes,Anatidae,Near-threatened,no,Schedule-I,High,no
Megaceryle lugubris,Crested Kingfisher,Coraciiformes,Alcedinidae,,no,Schedule-II,Moderate,no
Megalurus palustris,Striated Grassbird,Passeriformes,Locustellidae,,no,Schedule-II,Low,no
Melanocorypha bimaculata,Bimaculated Lark,Passeriformes,Alaudidae,,no,Schedule-II,,no
Melanocorypha calandra,Calandra Lark,Passeriformes,Alaudidae,,yes,,,no
Mergellus albellus,Smew,Anseriformes,Anatidae,,no,Schedule-II,,no
Merops apiaster,European Bee-eater,Coraciiformes,Meropidae,,no,Schedule-II,,no
Merops leschenaulti,Chestnut-headed Bee-eater,Coraciiformes,Meropidae,,no,Schedule-II,Low,no
Merops orientalis,Asian Green Bee-eater,Coraciiformes,Meropidae,,no,Schedule-II,Low,no
Merops persicus,Blue-cheeked Bee-eater,Coraciiformes,Meropidae,,no,,,no
Merops philippinus,Blue-tailed Bee-eater,Coraciiformes,Meropidae,,no,Schedule-II,Low,no
Metopidius indicus,Bronze-winged Jacana,Charadriiformes,Jacanidae,,no,,,no
Microcarbo niger,Little Cormorant,Suliformes,Phalacrocoracidae,,no,Schedule-II,Low,no
Milvus milvus,Red Kite,Accipitriformes,Accipitridae,,no,,,no
Mirafra javanica,Singing Bushlark,Passeriformes,Alaudidae,,no,Schedule-II,Moderate,no
Monticola rufiventris,Chestnut-bellied Rock-Thrush,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no
Monticola saxatilis,Rufous-tailed Rock-Thrush,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Motacilla flava,Western Yellow Wagtail,Passeriformes,Motacillidae,,no,Schedule-II,Moderate,no
Motacilla maderaspatensis,White-browed Wagtail,Passeriformes,Motacillidae,,no,Schedule-II,Low,no
Motacilla tschutschensis,Eastern Yellow Wagtail,Passeriformes,Motacillidae,,yes,,,no
Muscicapa dauurica,Asian Brown Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Muscicapa ferruginea,Ferruginous Flycatcher,Passeriformes,Muscicapidae,,no,,,no
Muscicapa striata,Spotted Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Mycerobas affinis,Collared Grosbeak,Passeriformes,Fringillidae,,no,Schedule-II,Moderate,no
Mycerobas carnipes,White-winged Grosbeak,Passeriformes,Fringillidae,,no,Schedule-II,,no
Mycteria leucocephala,Painted Stork,Ciconiiformes,Ciconiidae,,no,Schedule-II,Low,no
Neophron percnopterus,Egyptian Vulture,Accipitriformes,Accipitridae,Endangered,no,Schedule-I,High,no
Netta rufina,Red-crested Pochard,Anseriformes,Anatidae,,no,Schedule-II,Low,no
Nettapus coromandelianus,Cotton Pygmy-Goose,Anseriformes,Anatidae,,no,Schedule-I,Moderate,no
Niltava sundara,Rufous-bellied Niltava,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Nisaetus cirrhatus,Changeable Hawk-Eagle,Accipitriformes,Accipitridae,,no,,,no
Nisaetus nipalensis,Mountain Hawk-Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Nucifraga hemispila,Southern Nutcracker,Passeriformes,Corvidae,,no,,,no
Numenius arquata,Eurasian Curlew,Charadriiformes,Scolopacidae,Near-threatened,no,Schedule-II,High,no
Numenius phaeopus,Eurasian Whimbrel,Charadriiformes,Scolopacidae,,no,Schedule-II,Moderate,no
Nycticorax nycticorax,Black-crowned Night Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ocyceros birostris,Indian Gray Hornbill,Bucerotiformes,Bucerotidae,,no,Schedule-II,Low,no
Oenanthe albonigra,Hume's Wheatear,Passeriformes,Muscicapidae,,no,,,no
Oenanthe chrysopygia,Persian Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Oenanthe fusca,Brown Rock Chat,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Oenanthe isabellina,Isabelline Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,High,no
Oenanthe oenanthe,Northern Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Oenanthe picata,Variable Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,High,no
Oenanthe pleschanka,Pied Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Onychostruthus taczanowskii,White-rumped Snowfinch,Passeriformes,Passeridae,,no,,,no
Oriolus oriolus,Eurasian Golden Oriole,Passeriformes,Oriolidae,,no,,,no
